Date,Open,High,Low,Close,Adj Close,Volume
2015-06-29,67.660004,67.750000,66.430000,66.529999,66.529999,276900
2015-06-30,67.099998,67.480003,66.870003,67.199997,67.199997,188300
2015-07-01,67.830002,68.000000,67.220001,67.470001,67.470001,296500
2015-07-02,67.620003,67.639999,67.110001,67.480003,67.480003,206800
2015-07-06,67.000000,67.559998,66.820000,67.139999,67.139999,315400
2015-07-07,67.190002,67.320000,65.760002,67.220001,67.220001,316400
2015-07-08,66.639999,66.870003,66.010002,66.110001,66.110001,593400
2015-07-09,67.099998,67.309998,66.589996,66.620003,66.620003,448600
2015-07-10,67.279999,67.720001,67.120003,67.599998,67.599998,195900
2015-07-13,68.080002,69.040001,68.080002,68.989998,68.989998,495200
2015-07-14,69.180000,69.790001,69.070000,69.540001,69.540001,229600
2015-07-15,69.580002,69.820000,68.870003,69.050003,69.050003,471800
2015-07-16,69.739998,70.750000,69.739998,70.699997,70.699997,427200
2015-07-17,72.080002,72.779999,71.879997,72.690002,72.690002,827900
2015-07-20,72.870003,73.250000,72.410004,72.970001,72.970001,1021300
2015-07-21,73.120003,73.410004,72.800003,73.110001,73.110001,460200
2015-07-22,72.800003,73.129997,72.589996,72.760002,72.760002,222400
2015-07-23,72.900002,73.019997,71.800003,71.970001,71.970001,352800
2015-07-24,73.620003,73.800003,72.099998,72.260002,72.260002,384200
2015-07-27,71.809998,72.070000,71.190002,71.370003,71.370003,628000
2015-07-28,71.760002,72.150002,70.910004,72.059998,72.059998,482800
2015-07-29,71.900002,72.209999,71.139999,72.110001,72.110001,368400
2015-07-30,71.809998,72.559998,71.209999,72.470001,72.470001,538500
2015-07-31,72.550003,72.870003,72.300003,72.410004,72.410004,367200
2015-08-03,72.400002,72.540001,71.550003,72.070000,72.070000,1440300
2015-08-04,72.050003,72.690002,71.779999,72.360001,72.360001,464200
2015-08-05,73.080002,73.809998,73.080002,73.230003,73.230003,1010500
2015-08-06,73.440002,73.540001,71.930000,72.279999,72.279999,408600
2015-08-07,72.279999,72.279999,71.379997,71.839996,71.839996,199600
2015-08-10,72.389999,72.730003,72.080002,72.339996,72.339996,392600
2015-08-11,72.300003,72.720001,71.610001,72.199997,72.199997,280900
2015-08-12,71.610001,72.029999,70.449997,71.879997,71.879997,462200
2015-08-13,72.019997,72.320000,71.550003,71.779999,71.779999,326200
2015-08-14,71.639999,72.279999,71.629997,72.190002,72.190002,490700
2015-08-17,72.120003,72.610001,71.750000,72.610001,72.610001,259400
2015-08-18,72.519997,72.660004,72.000000,72.080002,72.080002,209800
2015-08-19,71.879997,72.260002,71.190002,71.699997,71.699997,280600
2015-08-20,71.080002,71.320000,69.150002,69.150002,69.150002,453700
2015-08-21,68.080002,68.839996,66.779999,66.870003,66.870003,1097600
2015-08-24,60.500000,66.739998,35.340000,63.820000,63.820000,1717000
2015-08-25,67.029999,67.029999,64.000000,64.010002,64.010002,1087000
2015-08-26,64.650002,67.199997,64.239998,67.019997,67.019997,1004300
2015-08-27,68.279999,68.940002,67.440002,68.870003,68.870003,878900
2015-08-28,68.629997,69.370003,68.589996,69.180000,69.180000,319400
2015-08-31,68.949997,69.190002,68.099998,68.430000,68.430000,330600
2015-09-01,67.750000,67.750000,65.779999,66.169998,66.169998,564500
2015-09-02,66.830002,67.540001,66.199997,67.540001,67.540001,286600
2015-09-03,67.650002,68.279999,67.129997,67.400002,67.400002,362400
2015-09-04,66.720001,66.919998,66.190002,66.599998,66.599998,503400
2015-09-08,67.769997,68.050003,67.279999,67.849998,67.849998,415800
2015-09-09,68.599998,68.870003,67.629997,67.800003,67.800003,310400
2015-09-10,67.599998,68.669998,67.540001,68.400002,68.400002,325800
2015-09-11,68.089996,68.589996,67.940002,68.589996,68.589996,252100
2015-09-14,68.599998,68.599998,67.949997,68.169998,68.169998,166500
2015-09-15,68.400002,69.430000,67.949997,69.230003,69.230003,383300
2015-09-16,69.330002,70.050003,68.989998,69.879997,69.879997,451000
2015-09-17,69.800003,71.089996,69.720001,70.099998,70.099998,647800
2015-09-18,69.129997,70.129997,69.040001,69.419998,69.419998,326200
2015-09-21,69.769997,70.360001,69.190002,69.699997,69.699997,625800
2015-09-22,68.820000,69.050003,67.949997,68.489998,68.489998,297700
2015-09-23,68.730003,68.839996,68.089996,68.370003,68.370003,224700
2015-09-24,67.720001,68.360001,66.959999,68.279999,68.279999,450700
2015-09-25,68.930000,69.000000,67.129997,67.470001,67.470001,411900
